Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,Diamandini,"Mari Velonaki, Social Robotist & Human-Interface Designer","Diamandini is a humanoid interactive robot that reacts to the movement and touch of viewers. I discovered Diamandini through looking into the works of  Mari Velonaki after seeing another one of her works, 'Fish Bird', in class.  Looking into this creation, I found Diamandini intriguing to watch - The robot, built to look like a floating porcelain doll, follows around and interacts with viewers as if it were a possessed statue, which creates a sense of anthropomorphic life to the robot as a living creature. Watching the machine interact in a gallery space, this attribute is explicitly acknowledged by viewers, who interact with Diamandini with curiosity and an air that extends it beyond any regular gallery item. It feels real. It interacts, watches, follows and avoids viewers, which, combined with its non-machine appearance, makes it feel quite uncanny. I believe, as a viewer, the robot's appearance allows us to attribute human assumptions to it and feel entertained or uneasy by this object.  This idea interests me in Physical computing - where machines step outside of the cultural boundaries set by their appearance, as it has the power to create stronger emotional reactions in viewers. Diamandini is creepy and enchanting - which makes it a fun piece to explore.",https://highlike.org/media/2014/09/Mari-Velonaki-Diamandini.jpeg,,"Mari Velonaki, Diamandini, 2009-2013",,https://www.marivelonaki.com/projects/diamandini-2009-2014,"Auto-Kinect, social robotics, interactive art, 2003, Artist, Physical Computing", 
leftDoubleImage,VideoPlace,Myron Kreuger,"As one of the earliest examples of human-machine interaction, Video Place is particularly impactful for my interest in human interaction with media, given how it innovated as a novel technology at the time. Video Place created its artificial reality effect by using a camera to record the user’s movements, which were then processed by a secondary system that mapped the video and enabled interaction by matching coordinates across multiple interfaces, allowing users to interact in different spaces. Although this is no longer ‘innovative technology’ for interactive media, I found that learning about this example really helped break down the technical aspects of how I could incorporate physical inputs into a web-based output. As I’m not that experienced in using physical computing with creative coding, this helped make the process feel less abstract. I can see using ideas from Video Place in my own project to extend physical spaces online, possibly through webcam elements or other movement stimuli.",https://ars.electronica.art/aeblog/files/2022/01/videoplace_2000x1000_2.jpg,https://miro.medium.com/v2/resize:fit:1400/1*3mgL10cVlgDF2evk_PRUuQ.jpeg,"Videoplace, 1975",Seeing Voices is a series of AI images generated by the performance Voice In My Head.,https://lauren-mccarthy.com/,"CreativeCoding, Physical Computing",
left,Exhausing a crowd,"Kylie Mcdonald, Survalience interactive web artwork","Exhausting a Crowd is an experimental art project that explores surveillance and public commentary. It is part dystopian and part social experiment, where visitors to the site are asked to place ‘tags’ on passersby in multiple public spaces over 12 hours of footage. Viewers assign their observations, attributes, queries and jokes to pedestrians, vehicles, buildings and other moments captured on camera. First encountering this project, it felt exciting to look through the series of notes commented by other anonymous viewers; it also made me think about the prevalence of surveillance in everyday life. From an interactive media standpoint, I felt that Exhausting a Crowd provided an interesting approach to web-based interaction through human curiosity and behaviour in its discussion on our surveyed societies. For my own development, I’m interested in exploring this tone through how our digital systems connect to the user (the commenters in this example) and the environment (the surveyed crowds) through how we attribute emotions and ideas via spectating. ",https://images.squarespace-cdn.com/content/v1/6003d8c83af3d40acfdc05fe/1610962445623-GN42UK2JX4QKEWRS8JVB/image-asset.jpeg,,"Exhausting a Crowd, Netherlands, 2015",,https://exhaustingacrowd.com/london,"Survailence,  Web art",
left,Robots in Captivity,"Bram Ellens, Robotics Exhibition","Robots in Captivity is one of the works I found online that instantly interested me through its approach to physical computing.  The exhibition takes on a bit of a disturbing thesis: That humankind has a habit of recording, capturing, and dissecting abnormalities in living creatures, for knowledge, power and curiosity. This exhibition directs this habit into the mechanical, with a collection of ‘inhabitant’ robots that project a feeling of being trapped through their movements and mechanical expression. Again, like Diamandini, this exhibition works with the anthropomorphism of physical computing – but takes it into a direction that feels unethical. I assume that this feeling of unethicalness comes from my own attribution of humanity onto the inhabitants, which I find poignant. A lot of Robot in Captivity’s content is re-worked technologies, children’s toys, to manufacturing equipment, which further empowers its critical curiosity on how abnormality is treated. I never particularly enjoyed the idea of the  ‘Wunderkammer’ in design, but I think this approach to it through interactive media aligns with the distaste I feel in objectifying novelty and brings digital elements to the viewer’s attention through our ability to empathise. Overall, I’d like to pull on ideas like this for my own project work, to create an emotion or reaction in audiences and get them to consider other interesting hypotheses.","https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=crop,format=auto,width=1200,height=630/image/215529109/fcd98b0c-51aa-41e4-acdb-e2edd044914e.jpg",,"The Mad King, Robots in Captivity Inhabitants",,https://www.robotsincaptivity.com/,Physical Computing,
leftDoubleImage,Teamlab,International Art Collective,"Team Lab, as a commercial and larger-scale point of interactive media, is an example I find interesting through its ability to incorporate wide-scale environments into visitor experiences. Team Lab, as a collective, gets to enjoy the site-specific end of physical computing, with wide, often very innovative systems used for interactive spaces. Looking into their past exhibits, I was most interested in their use of tactile experiences with digital systems to extend interactive media (Water within the Rain Room and the wading space as part of the body immersive collection). Although I won’t be able to reach extremes like this through my work this semester, I found the idea helped prompt further ways I could explore space and unusual inputs in Interactive media. Like water, it would be interesting to explore other tactile surfaces, like grass with an interface. One day I’ll visit (probably).","https://assets.team-lab.com/b5EBo9Uo-OK6SM09ZTkEZQ/a85329c6-aef2-47d1-3de1-ce2b8bcf5200/width=3840,quality=80","https://assets.team-lab.com/b5EBo9Uo-OK6SM09ZTkEZQ/mBdYnQUSooseGNWhAvBdFD/width=3840,quality=80","Megaliths in the Open Universe, TeamLab, 2025","Body Immersive, TeamLab, 2013",https://www.teamlab.art/,"Physical Computing, Installation art",
left,A friend is writing,Callum Copley ,"A Friend is Writing is an example I found whilst looking through the Interactive Media Case study library, which I liked because of its coded behaviour as an interactive web creation by effectively overloading the viewer with multiple narratives. Letting the site sit, it’s intense at times. It will play random sounds (which scared me the first time it played) – Honks and shrill noises to grab the viewer’s attention. It really operates outside the control of the viewer, who is only allowed to interact by switching between the tabs to read each appearing message. It’s reminiscent of modern messaging – but comments on the breadth of information, conversations and lives we are living digitally in an overstimulating digital environment. Although I couldn’t find much information on the creator itself (Callum Copley) , the only link attributing the creator to the site is a now-defunct Twitter account, I find the overall ‘digital atmosphere’ of it more intriguing. Personal stories, messages, poems and writings are given faces (which are randomised upon inspection) but are left without a real sense of being, making the experience of A Friend is Waiting more mystifying to engage with. I find that this experience was uplifted by the designed behaviours (scripts) of the site, which were used to reflect the experience the writing discusses as an effective narrative.",https://pbiggin.github.io/Workbook/images/Afriendiswriting.png,,"Synchronous Exchanges', A Friend is Typing (Screenshot) N.d.",,https://a-friend-is-writing.bewe.me/,"CreativeCoding, Web art",
left,Patatap ,Portable animation sound kit,"In terms of digital experiences, I found Patatap to be light and refreshing through its approach to synaesthesia and sound. It takes in the user’s input (on desktop, mouse clicks and keyboard) and creates visual and audio reactions to the input. I found this a fun example of creative web systems, although it doesn’t imply a deeper emotional narrative like other examples I found, it provides a pretty interesting sensory experience to play with. The system can connect with keyboards and other digitally compatible instruments, too, as an input, which allows other creatives to explore synaesthesia through their music. Together, I find the interest in using other unique inputs (sound, instruments as non-common controllers) and the visual/audio experience it creates as an output, something I want to consider in my own work, if it suits.",https://www.creativeapplications.net/wp-content/uploads/2014/06/petatap_screenshots_06.jpg,,"Patatap web interface, Screenshot",,https://www.patatap.com/,"CreativeCoding, Audio Exploration",
left,Blank stare,Laura Splan,"While looking through classmates’ hunt-and-gather contributions to the Milanote, I found Blank Stare a really interesting example of interpreting medical data as input for art as expression. Reading the artist’s explanation of her work, Blank Stare takes the action of the artist staring at a blank page, and reads EKG data gathered from the artist, which is then reinterpreted onto the same page as a circular input-output-input system metaphorically and behaviourally.  I included this example in my way post selection because I enjoy the conceptual union Laura Splan explores through the interaction between digital systems and physical objects.",https://cdn.prod.website-files.com/6391e5efd5c2c1a8b351b8b8/640344235361e51cf83bcc15_Laura_Splan%E2%80%942016%E2%80%94Blank_Stare%E2%80%948.jpg,,"Blank Stare #8, 2016, Lazer etching on Watercolour Paper",,https://www.laurasplan.com/projects/blank-stare,"CreativeCoding,  ",
left,Machine Pollocks,Desmond Paul Henry,"Machine Pollocks by Desmond Paul Henry is a series of works with an interesting connection to early ‘generative art’ through analogue machines that could engage user interaction or operate independently to create new works when left to operate. Although framed entirely differently now in the age of Artificial Intelligence, the idea of machine-creating art that is neutral to human interaction is challenging but promising. Through self-led drawing machines like these,  I feel that it would be an interesting point to discuss how we attribute the act of creativity to being human. This system created unique images, but does that make it art? I like to categorise this thinking as ‘psychological interaction with media’, where viewers are provided the option to interfere, and consider the outcome of the interaction (if it happens, or not).",https://alchetron.com/cdn/desmond-paul-henry-6418f8ad-0d51-4943-9106-a73e92464d2-resize-750.jpeg,,"#246, 1963. Drawing Machine 2",,https://desmondhenry.com/gallery/,"GenerativeArt, CreativeCoding",
left,Cubic Limit,Manfred Mohr,"Finally, as my last way post entry for this collection, Cubic Limit by Manfred Mohr is what I call the digital end of the interactive media spectrum through creative coding in algorithm-driven visual works. Through Cubic Limit, Mohr produced a large output of different artworks and one film of cube forms in mass, creating works that feel like hieroglyphics of a digital age. These outputs feel like an artefact of a digital history, with uninterpreted meaning as a human viewer. I imagine that the system would be very complex, but it is inspiring to think of other algorithmic approaches to interactive media and art. ",https://dam.org/museum/wp-content/uploads/2020/11/Mohr-p155c.jpg,,P176-F801. Plotter drawing on paper. 1976,,https://dam.org/museum/artists_ui/artists/mohr-manfred/cubic-limit-i/,"CreativeCoding, GenerativeArt",
